伝票日付,（借）科目ｺｰﾄﾞ,（借）科目名,（借）補助ｺｰﾄﾞ,（借）補助名,（借）金額,（借）税込区分,（借）消費税ｺｰﾄﾞ,（借）消費税率,（貸）科目ｺｰﾄﾞ,（貸）科目名,（貸）補助ｺｰﾄﾞ,（貸）補助名,（貸）金額,（貸）税込区分,（貸）消費税ｺｰﾄﾞ,（貸）消費税率,摘要
2022/08/29,6113,広告宣伝費,,nan,17800,1,10,4,1113,普通預金,1,もみじ銀行,17800,0,,,APアプラス　HP代
2022/08/29,6228,リース料,,nan,23976,1,10,4,1113,普通預金,1,もみじ銀行,23976,0,,,NS　三菱HBL　リース料
2022/08/29,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,36300,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,36300,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/08/29,6228,リース料,,nan,91830,1,10,4,1113,普通預金,1,もみじ銀行,91830,0,,,NS　三菱HBL　リース料
2022/08/29,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/08/29,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/08/29,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,140000,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,140000,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/08/30,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/08/30,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,10000,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,10000,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/08/31,1113,普通預金,1,もみじ銀行,26670,0,,,1122,売掛金,,諸口,26670,0,,,カカクコム　Tポイント　入金
2022/08/31,1113,普通預金,1,もみじ銀行,36928,0,,,1122,売掛金,,諸口,36928,0,,,カカクコム　Tポイント　入金
2022/08/31,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,65398,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,65398,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/08/31,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,320000,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,320000,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/09/01,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/09/01,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,20000,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,20000,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/09/02,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/09/02,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,30000,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,30000,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
2022/09/05,1113,普通預金,1,もみじ銀行,75446,0,,,1122,売掛金,1,カード,75446,0,,,リクルートペイメント　入金
2022/09/05,6228,リース料,,nan,8100,1,10,3,1113,普通預金,1,もみじ銀行,8100,0,,,SMTパナ　冷蔵庫リース
2022/09/05,6228,リース料,,nan,10450,1,10,4,1113,普通預金,1,もみじ銀行,10450,0,,,三菱クレジット　製氷機リース
2022/09/05,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/09/05,5211,989,989,nan,989,1,10,5,1111,現金,,nan,989,0,,,ドン・キホーテ　仕入
2022/09/05,（借）科目ｺｰﾄﾞ自動仕訳候補なし,（借）科目名自動仕訳候補なし,（借）補助ｺｰﾄﾞ自動仕訳候補なし,（借）補助名自動仕訳候補なし,180000,（借）税込区分自動仕訳候補なし,（借）消費税ｺｰﾄﾞ自動仕訳候補なし,（借）消費税率自動仕訳候補なし,（貸）科目ｺｰﾄﾞ自動仕訳候補なし,（貸）科目名自動仕訳候補なし,（貸）補助ｺｰﾄﾞ自動仕訳候補なし,（貸）補助名自動仕訳候補なし,180000,（貸）税込区分自動仕訳候補なし,（貸）消費税ｺｰﾄﾞ自動仕訳候補なし,（貸）消費税率自動仕訳候補なし,摘要自動仕訳候補なし
