,検索ＮＯ,伝票ＮＯ,伝票日付,相手科目コード,相手科目名称,摘要,消費税コード,消費税率,借方金額,貸方金額,差引金額,税率区分
,184,,R04/08/25,6231,雑費,リクルートペイメント　保証料,,,,12623,,
,211,,R04/08/25,4111,売上高,カード売上/VISA,,,7660,,45660,
,212,,R04/08/26,4111,売上高,カード売上/Master,,,16660,,62320,
,213,,R04/08/27,4111,売上高,カード売上/JCB,,,24000,,86320,
,214,,R04/08/30,4111,売上高,カード売上/VISA,,,18350,,,
,215,,R04/08/30,4111,売上高,カード売上/JCB,,,11300,,115970,
,,,,,,※※月計※※,,,699520,987070,,
"1225 減価償却累計額",,,,,,前月より繰越,,,,,47600,
,220,,R04/08/31,6214,減価償却費,当月概算計上,,,,6800,54400,
,,,,,,※※月計※※,,,0,6800,,
"2112 買掛金",,,,,,前月より繰越,,,,,450955,
,136,,R04/08/12,1111,現金,買掛金支払/㈱優侑ミート,,,269353,,,
,137,,R04/08/12,1111,現金,買掛金支払/住田㈱,,,181602,,0,
,221,,R04/08/31,5211,商品仕入高,買掛金計上/㈱優侑ミート,,,,195819,,
,222,,R04/08/31,5211,商品仕入高,買掛金計上/住田㈱,,,,69651,,
,223,,R04/08/31,5211,商品仕入高,買掛金計上/住田㈱,,,,105451,370921,
,,,,,,※※月計※※,,,450955,370921,,
"2115 未払費用",,,,,,前月より繰越,,,,,645718,
,122,,R04/08/09,1111,現金,従業員給与,,,184219,,461499,
,218,,R04/08/31,6111,給料賃金,従業員給与,,,,159744,621243,
,,,,,,※※月計※※,,,184219,159744,,
"2125 未払消費税",,,,,,前月より繰越,,,,,259500,
,224,,R04/08/31,6221,租税公課,消費税概算計上,,,,38700,298200,
,,,,,,※※月計※※,,,0,38700,,
"2212 長期借入金",,,,,,前月より繰越,,,,,12319000,
,1,,R04/08/01,1113,普通預金,日本政策金融公庫　借入金返済,,,26000,,,
,3,,R04/08/01,1113,普通預金,日本政策金融公庫　借入金返済,,,36000,,12257000,
,89,,R04/08/25,1113,普通預金,広島信用金庫　借入金返済,,,83500,,12173500,
,76,,R04/08/31,1113,普通預金,日本政策金融公庫　借入金返済,,,26000,,,
,78,,R04/08/31,1113,普通預金,日本政策金融公庫　借入金返済,,,36000,,12111500,
,,,,,,※※月計※※,,,207500,0,,
"4111 売上高",,,,,,前月より繰越,,,,,10354500,
,91,,R04/08/01,1111,現金,現金売上,10,10.0,,17420,,
,185,,R04/08/01,1122,売掛金,カード売上/JCB,10,10.0,,3000,10374920,
,102,,R04/08/02,1111,現金,現金売上,10,10.0,,32140,10407060,
,186,,R04/08/03,1122,売掛金,カード売上/VISA,10,10.0,,15720,,
,187,,R04/08/03,1122,売掛金,カード売上/JCB,10,10.0,,10740,,
,188,,R04/08/03,1122,売掛金,カード売上/VISA,10,10.0,,24660,10458180,
,106,,R04/08/04,1111,現金,現金売上,10,10.0,,15320,10473500,
,107,,R04/08/05,1111,現金,現金売上,10,10.0,,53240,,
,189,,R04/08/05,1122,売掛金,カード売上/JCB,10,10.0,,30640,,
,190,,R04/08/05,1122,売掛金,カード売上/VISA,10,10.0,,23600,,
,191,,R04/08/05,1122,売掛金,カード売上/Master,10,10.0,,12140,10593120,
,115,,R04/08/06,1111,現金,現金売上,10,10.0,,6000,,
,192,,R04/08/06,1122,売掛金,カード売上/JCB,10,10.0,,20360,,
,193,,R04/08/06,1122,売掛金,"Go To Eat　売上",10,10.0,,38000,10657480,
,194,,R04/08/08,1122,売掛金,カード売上/Master,10,10.0,,16480,,
,195,,R04/08/08,1122,売掛金,カード売上/VISA,10,10.0,,24340,,
,196,,R04/08/08,1122,売掛金,カード売上/VISA,10,10.0,,27400,10725700,
,123,,R04/08/10,1111,現金,現金売上,10,10.0,,20320,,
,197,,R04/08/10,1122,売掛金,カード売上/VISA,10,10.0,,30940,,
,198,,R04/08/10,1122,売掛金,カード売上/JCB,10,10.0,,39980,,
,199,,R04/08/10,1122,売掛金,カード売上/Master,10,10.0,,22280,,
,200,,R04/08/10,1122,売掛金,カード売上/VISA,10,10.0,,27860,10867080,
,127,,R04/08/11,1111,現金,現金売上,10,10.0,,58640,,
,201,,R04/08/11,1122,売掛金,カード売上/JCB,10,10.0,,60000,10985720,
,29,,R04/08/12,1113,普通預金,カカクコムTポイント,10,10.0,,200,,
,130,,R04/08/12,1111,現金,現金売上,10,10.0,,66120,,
,202,,R04/08/12,1122,売掛金,カード売上/JCB,10,10.0,,16340,,
,203,,R04/08/12,1122,売掛金,カード売上/VISA,10,10.0,,22580,11090960,
,138,,R04/08/13,1111,現金,現金売上,10,10.0,,43700,,
,204,,R04/08/13,1122,売掛金,カード売上/VISA,10,10.0,,18020,,
,205,,R04/08/13,1122,売掛金,カード売上/VISA,10,10.0,,39840,11192520,
,141,,R04/08/18,1111,現金,現金売上,10,10.0,,41600,,
,206,,R04/08/18,1122,売掛金,カード売上/Master,10,10.0,,12270,11246390,
,147,,R04/08/19,1111,現金,現金売上,10,10.0,,26300,,
,207,,R04/08/19,1122,売掛金,カード売上/Master,10,10.0,,12800,,
,208,,R04/08/19,1122,売掛金,カード売上/JCB,10,10.0,,41880,,
,209,,R04/08/19,1122,売掛金,カード売上/Master,10,10.0,,10000,,
,210,,R04/08/19,1122,売掛金,カード売上/Master,10,10.0,,19680,11357050,
,149,,R04/08/20,1111,現金,現金売上,10,10.0,,58720,11415770,
,151,,R04/08/22,1111,現金,現金売上,10,10.0,,80820,11496590,
,156,,R04/08/23,1111,現金,現金売上,10,10.0,,20010,11516600,
,157,,R04/08/24,1111,現金,現金売上,10,10.0,,45240,11561840,
,53,,R04/08/25,1113,普通預金,リクルートポイントプレゼント,10,10.0,,5100,,
,160,,R04/08/25,1111,現金,現金売上,10,10.0,,63970,,
,211,,R04/08/25,1122,売掛金,カード売上/VISA,10,10.0,,7660,11638570,
,165,,R04/08/26,1111,現金,現金売上,10,10.0,,49580,,
,212,,R04/08/26,1122,売掛金,カード売上/Master,10,10.0,,16660,11704810,
,168,,R04/08/27,1111,現金,現金売上,10,10.0,,34620,,
,213,,R04/08/27,1122,売掛金,カード売上/JCB,10,10.0,,24000,11763430,
,170,,R04/08/29,1111,現金,現金売上,10,10.0,,28080,11791510,
,175,,R04/08/30,1111,現金,現金売上,10,10.0,,58190,,
,214,,R04/08/30,1122,売掛金,カード売上/VISA,10,10.0,,18350,,
,215,,R04/08/30,1122,売掛金,カード売上/JCB,10,10.0,,11300,11879350,
,178,,R04/08/31,1111,現金,現金売上,10,10.0,,57580,11936930,
,,,,,,※※月計※※,,,0,1582430,,
"5111 期首棚卸高",,,,,,,,,,,,
,219,,R04/08/31,5311,期末棚卸高,棚振替,40,,145040,,145040,
,,,,,,※※月計※※,,,145040,0,,
"5211 商品仕入高",,,,,,前月より繰越,,,,,3362429,
,92,,R04/08/01,1111,現金,豊島水産　仕入,10,8.0,5573,,,#
,93,,R04/08/01,1111,現金,フジグラン　仕入,10,8.0,2854,,,#
,94,,R04/08/01,1111,現金,"7/31 フジグラン　仕入",10,8.0,489,,,#
,95,,R04/08/01,1111,現金,"7/30 フジグラン　仕入",10,8.0,427,,,#
,96,,R04/08/01,1111,現金,三越　仕入,10,8.0,216,,,#
,100,,R04/08/01,1111,現金,ダイソー　仕入,10,8.0,648,,3372636,#
,103,,R04/08/02,1111,現金,フジグラン　仕入,10,8.0,1086,,3373722,#
,108,,R04/08/05,1111,現金,豊島水産　仕入,10,8.0,18114,,,#
,109,,R04/08/05,1111,現金,フジグラン　仕入,10,8.0,1542,,3393378,#
,116,,R04/08/08,1111,現金,豊島水産　仕入,10,8.0,13738,,,#
,117,,R04/08/08,1111,現金,フジグラン　仕入,10,8.0,1074,,,#
,118,,R04/08/08,1111,現金,セブンイレブン　仕入,10,8.0,159,,,#
,119,,R04/08/08,1111,現金,セブンイレブン　仕入,10,8.0,300,,,#
,120,,R04/08/08,1111,現金,フジグラン　仕入,10,8.0,269,,,#
,121,,R04/08/08,1111,現金,豊島水産　仕入,10,8.0,2350,,3411268,#
,124,,R04/08/10,1111,現金,豊島水産　仕入,10,8.0,8035,,,#
,125,,R04/08/10,1111,現金,フジグラン　仕入,10,8.0,593,,,#
,126,,R04/08/10,1111,現金,八百心　仕入,10,8.0,1607,,3421503,#
,128,,R04/08/11,1111,現金,フジグラン　仕入,10,8.0,2265,,,#
,129,,R04/08/11,1111,現金,リカーマウンテン　仕入,10,8.0,213,,3423981,#
,131,,R04/08/12,1111,現金,豊島水産　仕入,10,8.0,14882,,,#
,132,,R04/08/12,1111,現金,フジグラン　仕入,10,8.0,2433,,,#
,134,,R04/08/12,1111,現金,三越　仕入,10,8.0,324,,,#
,135,,R04/08/12,1111,現金,三越　仕入,10,8.0,216,,3441836,#
,139,,R04/08/13,1111,現金,フジグラン　仕入,10,8.0,351,,3442187,#
,142,,R04/08/18,1111,現金,エブリイ　仕入,10,8.0,1793,,,#
,143,,R04/08/18,1111,現金,フジグラン　仕入,10,8.0,1020,,,#
,144,,R04/08/18,1111,現金,フジグラン　仕入,10,8.0,931,,,#
,145,,R04/08/18,1111,現金,豊島水産　仕入,10,8.0,11513,,3457444,#
,148,,R04/08/19,1111,現金,プロマート　仕入,10,8.0,1333,,3458777,#
,150,,R04/08/20,1111,現金,フジグラン　仕入,10,8.0,750,,3459527,#
,152,,R04/08/22,1111,現金,豊島水産　仕入,10,8.0,8195,,,#
,153,,R04/08/22,1111,現金,フジグラン　仕入,10,8.0,931,,,#
,154,,R04/08/22,1111,現金,八百心　仕入,10,8.0,4754,,,#
,155,,R04/08/22,1111,現金,角戸鮮魚店　仕入,10,8.0,2500,,3475907,#
,158,,R04/08/24,1111,現金,フジグラン　仕入,10,8.0,599,,,#
,159,,R04/08/24,1111,現金,フジグラン　仕入,10,8.0,2146,,3478652,#
,163,,R04/08/25,1111,現金,西原商会　仕入,10,8.0,7575,,3486227,#
,166,,R04/08/26,1111,現金,プロマート　仕入,10,8.0,1399,,3487626,#
,169,,R04/08/27,1111,現金,フジグラン　仕入,10,8.0,2251,,3489877,#
,171,,R04/08/29,1111,現金,プロマート　仕入,10,8.0,2506,,,#
,172,,R04/08/29,1111,現金,三越　仕入,10,8.0,324,,,#
,174,,R04/08/29,1111,現金,豊島水産　仕入,10,8.0,4147,,3496854,#
,176,,R04/08/30,1111,現金,豊島水産　仕入,10,8.0,2441,,,#
,177,,R04/08/30,1111,現金,フジグラン　仕入,10,8.0,351,,3499646,#
,179,,R04/08/31,1111,現金,フジグラン　仕入,10,8.0,647,,,#
,181,,R04/08/31,1111,現金,楽天市場　仕入,10,10.0,9310,,,
,221,,R04/08/31,2112,買掛金,買掛金計上/㈱優侑ミート,10,8.0,195819,,,#
,222,,R04/08/31,2112,買掛金,買掛金計上/住田㈱,10,8.0,69651,,,#
,223,,R04/08/31,2112,買掛金,買掛金計上/住田㈱,10,10.0,105451,,3880524,
,,,,,,※※月計※※,,,518095,0,,
"5311 期末棚卸高",,,,,,,,,,,,
,219,,R04/08/31,5111,期首棚卸高,棚振替,40,,,145040,145040,
,,,,,,※※月計※※,,,0,145040,,
"6111 給料賃金",,,,,,前月より繰越,,,,,1061615,
,218,,R04/08/31,2115,未払費用,従業員給与,40,,159744,,1221359,
,,,,,,※※月計※※,,,159744,0,,
"6113 広告宣伝費",,,,,,前月より繰越,,,,,747932,
,216,,R04/08/10,9311,事業主借,6/30　フードコネクション　広告代（しんきんカードより）,10,10.0,2200,,,
,217,,R04/08/10,9311,事業主借,7/4　食べログ　広告代（しんきんカードより）,10,10.0,1320,,751452,
,65,,R04/08/29,1113,普通預金,タイヘイ　HP（2019.6～）,10,8.0,11500,,,*
,66,,R04/08/29,1113,普通預金,ジャックス　HP（写真代,10,8.0,16300,,,*
,67,,R04/08/29,1113,普通預金,APアプラス　HP代,10,10.0,17800,,797052,
,180,,R04/08/31,1111,現金,リクルート　広告掲載料,10,10.0,47700,,844752,
,,,,,,※※月計※※,,,96820,0,,
"6117 サービス費",,,,,,前月より繰越,,,,,71761,
,133,,R04/08/12,1111,現金,広島おしぼり　おしぼり代,10,10.0,16802,,88563,
,,,,,,※※月計※※,,,16802,0,,
"6214 減価償却費",,,,,,前月より繰越,,,,,47600,
,220,,R04/08/31,1225,減価償却累計額,当月概算計上,40,,6800,,54400,
,,,,,,※※月計※※,,,6800,0,,
"6215 地代家賃",,,,,,前月より繰越,,,,,2156000,
,110,,R04/08/05,1111,現金,名艸慶二　店舗家賃,10,10.0,308000,,2464000,
,,,,,,※※月計※※,,,308000,0,,
"6216 修繕費",,,,,,,,,,,,
,113,,R04/08/05,1111,現金,㈱シーアールデザイン　トイレ修理代,10,10.0,35000,,35000,
,,,,,,※※月計※※,,,35000,0,,
"6218 通信費",,,,,,前月より繰越,,,,,106778,
,146,,R04/08/18,1111,現金,"ソフトバンク　Wi-Fi 2022.7",10,10.0,3091,,109869,
,164,,R04/08/25,1111,現金,日本郵便　郵送代,10,10.0,380,,110249,
,58,,R04/08/26,1113,普通預金,スカパー　視聴料,10,10.0,6510,,116759,
,64,,R04/08/29,1113,普通預金,ソフトバンク　電話代,10,10.0,5368,,122127,
,,,,,,※※月計※※,,,15349,0,,
"6219 水道光熱費",,,,,,前月より繰越,,,,,560339,
,33,,R04/08/15,1113,普通預金,"広島ガス　ガス代 4.8",10,10.0,23360,,583699,
,63,,R04/08/29,1113,普通預金,ハルエネ　電気代,10,10.0,3851,,,
,70,,R04/08/29,1113,普通預金,ハルエネ　電気代,10,10.0,91830,,679380,
,,,,,,※※月計※※,,,119041,0,,
"6221 租税公課",,,,,,前月より繰越,,,,,260500,
,173,,R04/08/29,1111,現金,事業税　第一期,40,,131400,,391900,
,224,,R04/08/31,2125,未払消費税,消費税概算計上,40,,38700,,430600,
,,,,,,※※月計※※,,,170100,0,,
"6223 接待交際費",,,,,,前月より繰越,,,,,185940,
,140,,R04/08/13,1111,現金,ひろしま藩　飲食代,10,10.0,3990,,189930,
,167,,R04/08/26,1111,現金,GAIA　接待費,10,10.0,5000,,194930,
,,,,,,※※月計※※,,,8990,0,,
"6224 損害保険料",,,,,,前月より繰越,,,,,48230,
,83,,R04/08/26,1113,普通預金,三井住友海上火災保険　保険料,30,,6890,,55120,
,,,,,,※※月計※※,,,6890,0,,
"6225 消耗品費",,,,,,前月より繰越,,,,,85577,
,97,,R04/08/01,1111,現金,ヤマダ電機　消耗品,10,10.0,1138,,,
,98,,R04/08/01,1111,現金,ヤマダ電機　消耗品,10,10.0,712,,,
,99,,R04/08/01,1111,現金,ダイソー　消耗品,10,10.0,222,,87649,
,104,,R04/08/03,1111,現金,テンポスバスターズ　消耗品代,10,10.0,9251,,,
,105,,R04/08/03,1111,現金,セブンイレブン　消耗品,10,10.0,726,,97626,
,161,,R04/08/25,1111,現金,東急ハンズ　消耗品,10,10.0,1958,,,
,162,,R04/08/25,1111,現金,ダイソー　消耗品,10,10.0,330,,99914,
,,,,,,※※月計※※,,,14337,0,,
"6228 リース料",,,,,,前月より繰越,,,,,277420,
,10,,R04/08/03,1113,普通預金,SMTパナ　冷蔵庫リース,10,8.0,8100,,285520,*
,15,,R04/08/05,1113,普通預金,三菱クレジット　製氷機リース,10,10.0,10450,,295970,
,68,,R04/08/29,1113,普通預金,NS　三菱HBL　リース料,10,10.0,23976,,319946,
,,,,,,※※月計※※,,,42526,0,,
"6231 雑費",,,,,,前月より繰越,,,,,685062,
,111,,R04/08/05,1111,現金,名艸慶二　ゴミ処理代,10,10.0,4500,,,
,112,,R04/08/05,1111,現金,広島信用金庫　振込手数料,10,10.0,220,,,
,114,,R04/08/05,1111,現金,広島信用金庫　振込手数料,10,10.0,440,,,
,182,,R04/08/05,1122,売掛金,リクルートペイメント　保証料,30,,10065,,700287,
,21,,R04/08/06,1113,普通預金,引出手数料,10,10.0,220,,700507,
,183,,R04/08/16,1122,売掛金,リクルートペイメント　保証料,30,,6994,,707501,
,42,,R04/08/22,1113,普通預金,サニクリーン　ユニフォーム代,10,10.0,11262,,,
,43,,R04/08/22,1113,普通預金,サニクリーン　マット代等,10,10.0,19206,,737969,
,184,,R04/08/25,1122,売掛金,リクルートペイメント　保証料,30,,12623,,750592,
,69,,R04/08/29,1113,普通預金,長谷川会計　顧問料・納特・労働保険,10,10.0,36300,,786892,
,,,,,,※※月計※※,,,101830,0,,
"7511 支払利息",,,,,,前月より繰越,,,,,70990,
,2,,R04/08/01,1113,普通預金,日本政策金融公庫　支払利息,30,,680,,,
,4,,R04/08/01,1113,普通預金,日本政策金融公庫　支払利息,30,,942,,72612,
,90,,R04/08/25,1113,普通預金,広島信用金庫　支払利息,30,,8321,,80933,
,77,,R04/08/31,1113,普通預金,日本政策金融公庫　支払利息,30,,670,,,
,79,,R04/08/31,1113,普通預金,日本政策金融公庫　支払利息,30,,928,,82531,
,,,,,,※※月計※※,,,11541,0,,
"9311 事業主借",,,,,,前月より繰越,,,,,120711,
,101,,R04/08/01,1111,現金,事業主借,,,,1850,122561,
,216,,R04/08/10,6113,広告宣伝費,6/30　フードコネクション　広告代（しんきんカードより）,,,,2200,,
,217,,R04/08/10,6113,広告宣伝費,7/4　食べログ　広告代（しんきんカードより）,,,,1320,126081,
,88,,R04/08/21,1113,普通預金,決算利息,,,,13,126094,
,41,,R04/08/22,1113,普通預金,受取利息,,,,4,126098,
,,,,,,※※月計※※,,,0,5387,,
"9411 事業主貸",,,,,,前月より繰越,,,,,4824730,
,5,,R04/08/01,1113,普通預金,所得税　中間納付,,,171400,,4996130,
,19,,R04/08/05,1113,普通預金,生活費,,,20000,,5016130,
,20,,R04/08/06,1113,普通預金,生活費,,,10000,,5026130,
,35,,R04/08/18,1113,普通預金,小規模共済,,,70000,,,
,39,,R04/08/18,1113,普通預金,生活費,,,50000,,5146130,
,44,,R04/08/22,1113,普通預金,大同生命　保険料,,,21941,,5168071,
,51,,R04/08/23,1113,普通預金,生活費,,,20000,,5188071,
,56,,R04/08/25,1113,普通預金,生活費,,,220000,,5408071,
,57,,R04/08/26,1113,普通預金,ソフトバンクモバイル（個人分）,,,525,,,
,59,,R04/08/26,1113,普通預金,ソフトバンクモバイル（個人分）,,,6896,,,
,62,,R04/08/26,1113,普通預金,生活費,,,20000,,,
,84,,R04/08/26,1113,普通預金,NHK（個人使用分）,,,1225,,,
,85,,R04/08/26,1113,普通預金,三井住友海上火災保険　保険料（車）,,,21360,,5458077,
,86,,R04/08/29,1113,普通預金,りそな決済（家賃）,,,50200,,5508277,
,82,,R04/08/31,1113,普通預金,生活費,,,250000,,5758277,
,,,,,,※※月計※※,,,933547,0,,
